,Actual value,Predicted value
1888,0.0,2.2842192317630863
742,0.0,2.2842192317630863
1505,0.0,2.2842192317630863
1499,0.0,2.2842192317630863
2070,0.0,2.2842192317630863
972,0.0,2.2842192317630863
2232,0.0,2.2842192317630863
1196,0.0,2.2842192317630863
1938,0.0,2.2842192317630863
2941,0.0,2.2842192317630863
1443,0.0,2.2842192317630863
4744,0.0,2.2842192317630863
3044,0.0,2.2842192317630863
5136,0.0,2.2842192317630863
4577,0.0,2.2842192317630863
5344,0.0,2.2842192317630863
6335,7.4,4.6926137408318445
2821,0.0,2.2842192317630863
1093,0.0,2.2842192317630863
6326,0.0,2.2842192317630863
3551,0.0,2.2842192317630863
304,0.0,2.2842192317630863
6035,0.0,2.2842192317630863
1091,0.0,2.2842192317630863
829,23.9,11.333944053718422
2988,0.0,2.2842192317630863
964,0.0,2.2842192317630863
1306,0.0,2.2842192317630863
791,0.0,2.2842192317630863
2894,0.0,2.2842192317630863
4747,0.0,2.2842192317630863
4933,0.0,2.2842192317630863
608,0.0,2.2842192317630863
4899,0.0,2.2842192317630863
4773,0.0,2.2842192317630863
1146,0.0,2.2842192317630863
6515,0.0,2.2842192317630863
1608,0.0,2.2842192317630863
1615,0.0,2.2842192317630863
4485,0.0,2.2842192317630863
4342,0.0,2.2842192317630863
1423,0.0,2.2842192317630863
5532,0.0,2.2842192317630863
3739,4.4,7.028026598110641
5303,0.0,2.2842192317630863
5830,24.9,2.2842192317630863
6001,0.0,2.2842192317630863
2638,0.0,2.2842192317630863
123,0.0,2.2842192317630863
4413,0.0,2.2842192317630863
2771,0.0,2.2842192317630863
6902,0.0,2.2842192317630863
511,39.5,2.2842192317630863
2946,0.0,2.2842192317630863
3855,0.0,2.2842192317630863
7088,0.0,2.2842192317630863
4005,10.8,2.2842192317630863
74,0.0,2.2842192317630863
2667,0.0,2.2842192317630863
4309,0.0,2.2842192317630863
1753,0.0,2.2842192317630863
1568,0.0,2.2842192317630863
5428,0.0,2.2842192317630863
4496,0.0,2.2842192317630863
7284,0.0,2.2842192317630863
5720,0.0,2.2842192317630863
2934,0.0,2.2842192317630863
4481,7.3,2.2842192317630863
1811,0.0,2.2842192317630863
980,0.0,2.2842192317630863
6254,1.8,2.2842192317630863
2417,4.4,27.02499918856033
5405,0.0,2.2842192317630863
5683,6.4,27.24394414393022
559,0.0,2.2842192317630863
4303,0.0,2.2842192317630863
3677,0.0,2.2842192317630863
136,0.0,2.2842192317630863
642,0.0,2.2842192317630863
893,0.0,2.2842192317630863
360,0.0,2.2842192317630863
1325,0.0,2.2842192317630863
5496,0.0,2.2842192317630863
7236,23.3,2.2842192317630863
5823,37.6,2.2842192317630863
4017,0.0,2.2842192317630863
6662,0.0,2.2842192317630863
1541,0.0,2.2842192317630863
6358,0.0,2.2842192317630863
5450,0.0,2.2842192317630863
1544,0.0,2.2842192317630863
2113,0.0,2.2842192317630863
6619,13.5,2.2842192317630863
4702,0.0,2.2842192317630863
1800,0.0,2.2842192317630863
1894,0.0,2.2842192317630863
4637,0.0,2.2842192317630863
3989,0.0,2.2842192317630863
6422,0.0,2.2842192317630863
3968,0.0,2.2842192317630863
6067,0.0,2.2842192317630863
4082,14.3,2.2842192317630863
83,22.9,2.2842192317630863
4139,36.1,2.2842192317630863
3768,5.89,17.09949454512545
2901,0.0,2.2842192317630863
6704,0.0,2.2842192317630863
6597,0.0,2.2842192317630863
2483,0.0,2.2842192317630863
1868,0.0,2.2842192317630863
2748,0.0,2.2842192317630863
6522,0.0,2.2842192317630863
7098,0.0,2.2842192317630863
1179,0.0,2.2842192317630863
2989,0.0,2.2842192317630863
585,0.0,2.2842192317630863
4582,0.0,14.545136732476767
2530,9.1,8.56064128569985
5851,10.7,2.2842192317630863
1621,0.0,2.2842192317630863
5610,0.0,2.2842192317630863
2140,7.0,4.400687133671996
889,0.0,2.2842192317630863
498,0.0,2.2842192317630863
309,0.0,2.2842192317630863
3502,0.0,2.2842192317630863
3827,0.0,2.2842192317630863
4040,25.6,14.180228473526952
3969,0.0,2.2842192317630863
5372,0.0,2.2842192317630863
